ID,Title,Company,Location,Salary,EasyApply,Remote,URL
"13","Enterprise Accounts Customer Success Manager","Visit.org","Remote, US","$75000.0 - $85000.0 USD","False","True","https://www.indeed.com/viewjob?jk=c2c628850f0c5150"
"14","Senior Customer Success Manager","TRUSTWELL","Remote, US","$75000.0 - $85000.0 USD","False","True","https://www.indeed.com/viewjob?jk=c10e0d75a50d5df3"
"15","Account Manager/ Client Success Manager - Digital Marketing Agency","MVR Digital","Denver, CO, US","$70000.0 - $85000.0 USD","False","True","https://www.indeed.com/viewjob?jk=18c040dd0277db8f"
"16","Senior Client Success Manager","Ambient Skies Productions","Phoenix, AZ, US","$75000.0 - $90000.0 USD","False","True","https://www.indeed.com/viewjob?jk=e5fc0a3232e11410"
"17","IT Account / Client Success Manager (Microsoft Knowledge Req.)","GSES","Folsom, CA, US","$75000.0 - $90000.0 USD","False","True","https://www.indeed.com/viewjob?jk=0b1aebe3c212be3d"
"18","Customer Success Manager","Lightricks","Chicago, IL, US","$85000.0 - $110000.0 USD","False","True","https://www.indeed.com/viewjob?jk=2f3eae2c244cd29d"
"19","Customer Success Manager","Lightricks","Chicago, IL, US","$85000.0 - $110000.0 USD","False","True","https://www.indeed.com/viewjob?jk=72b9bf17e2c692bf"
"20","Senior Customer Success Manager","Nexthink","Chicago, IL, US","","False","True","https://www.indeed.com/viewjob?jk=22fd5bbeee10adf7"
"21","Senior Customer Success Manager","Nexthink","Boston, MA, US","","False","True","https://www.indeed.com/viewjob?jk=8dc2ba99ea1d2ff0"
"22","Customer Success Manager (Marketing Solutions)","Buxton Company","Remote, US","","False","True","https://www.indeed.com/viewjob?jk=4f2c2c24f2b726ad"
"23","Customer Success Manager","Macrobond Financial AB","MN, US","","False","True","https://www.indeed.com/viewjob?jk=71dd674225f5d688"
"24","Customer Success Manager Texas (Remote)","AppCard","TX, US","","False","True","https://www.indeed.com/viewjob?jk=7e75015f2c399c56"
"25","Customer Success Manager North Carolina (Remote)","AppCard","NC, US","","False","True","https://www.indeed.com/viewjob?jk=061f3a53a18917df"
"26","Customer Success Manager","Zonda Home","US","","False","True","https://www.indeed.com/viewjob?jk=4943a6dc8cd0fa81"
"27","Customer Success Manager (CSM)","Worth AI","Orlando, FL, US","","False","True","https://www.indeed.com/viewjob?jk=aa55d12301e614cf"
"28","Senior Customer Success Manager","Workato","Palo Alto, CA, US","$120000.0 - $160000.0 USD","False","True","https://www.indeed.com/viewjob?jk=a7e3920aa440e91c"
"29","Customer Success Manager","Meazure Learning","McLean, VA, US","","False","True","https://www.indeed.com/viewjob?jk=1644ba71ec1a46e5"
"30","Enterprise Customer Success Manager - East Coast","Dovetail","US","$150000.0 - $185000.0 USD","False","True","https://www.indeed.com/viewjob?jk=c8391cbe7c626460"
"31","Enterprise Customer Success Manager - West Coast","Dovetail","US","$150000.0 - $185000.0 USD","False","True","https://www.indeed.com/viewjob?jk=f4c995360e31a2e0"
"32","Customer Success Manager - LTX","Lightricks","New York, NY, US","$95000.0 - $120000.0 USD","False","True","https://www.indeed.com/viewjob?jk=80a0b4174d4fcd6d"
"33","Director, Customer Success Management","Otelier","US","$113550.0 - $167000.0 USD","False","True","https://www.indeed.com/viewjob?jk=4a23f2a3746d1050"
"34","Sr. Customer Success Manager","OneSource Virtual","Remote, US","","False","True","https://www.indeed.com/viewjob?jk=d9c91d8a9b8056c1"
"35","Customer Success Manager - MLS","Clear Capital","Remote, US","$69000.0 - $92400.0 USD","False","True","https://www.indeed.com/viewjob?jk=cb837fe6a5c3a85b"
"36","Customer Success Manager","kontakt.io","Remote, US","","False","True","https://www.indeed.com/viewjob?jk=f72c896a79b5aefd"
"37","Associate Director, Customer Success","nan","US","","False","True","https://www.indeed.com/viewjob?jk=b61801ff32ed490a"
"38","Customer Success Manager","Nearmap","Carlsbad, CA, US","","False","True","https://www.indeed.com/viewjob?jk=76d6b9e9793ca991"
"39","Customer Success Manager","Redpanda","Austin, TX, US","$140000.0 - $165000.0 USD","False","True","https://www.indeed.com/viewjob?jk=4f4b27049f107dfb"
"40","Customer Success Manager - LTX","Lightricks","New York, NY, US","$95000.0 - $120000.0 USD","False","True","https://www.indeed.com/viewjob?jk=5ef48434db8295c4"
"41","JOIN OUR CUSTOMER SUCCESS TEAM - LEAD NURTURE CONVERSION SPECIALIST","F45 Training","Round Rock, TX, US","","False","True","https://www.indeed.com/viewjob?jk=c8de66d88e04f34c"
"42","Customer Success Manager","Homebot","Denver, CO, US","$85000.0 - $105000.0 USD","False","True","https://www.indeed.com/viewjob?jk=fbe6c682c0d0bcc4"
"43","Customer Success Manager","Exact Sciences","Madison, WI, US","$57000.0 - $102000.0 USD","False","True","https://www.indeed.com/viewjob?jk=04aa6f8cc7597edc"
"44","Customer Success Manager","Exact Sciences","Redwood City, CA, US","$57000.0 - $102000.0 USD","False","True","https://www.indeed.com/viewjob?jk=6b8efa9d2a9c470b"
"45","Sr Customer Success Manager","Happy Returns, Inc.","Atlanta, GA, US","","False","True","https://www.indeed.com/viewjob?jk=491e99a079b5be16"
"46","Sr Customer Success Manager","Sinch","Atlanta, GA, US","$114000.0 - $150000.0 USD","False","True","https://www.indeed.com/viewjob?jk=2cb2cb1cf6e47f99"
"47","Customer Success Manager","SendJim","Nashville, TN, US","$50000.0 - $65000.0 USD","False","True","https://www.indeed.com/viewjob?jk=be5824653657b3da"
"48","Customer Success Manager","ServiceTitan","CA, US","$59000.0 - $78900.0 USD","False","True","https://www.indeed.com/viewjob?jk=414179bf8d358ffe"
"49","Associate Customer Success Manager","ServiceNow","West Palm Beach, FL, US","","False","True","https://www.indeed.com/viewjob?jk=816943c6e401a182"
"50","Manager, Customer Success","Certinia","Austin, TX, US","$104000.0 - $195000.0 USD","False","True","https://www.indeed.com/viewjob?jk=8535b340130ae39d"
"51","A fast-growing B2B SaaS is looking for talented Customer Success Managers!","eWay System","Kansas City, MO, US","","False","True","https://www.indeed.com/viewjob?jk=0594a460940920f2"
"52","Customer Success Account Manager","Jonas Software","Remote, US","","False","True","https://www.indeed.com/viewjob?jk=67452ae08891ff40"
